company,location,industry
Walmart,"Bentonville, AR",General Merchandisers
Exxon Mobil,"Irving, TX",Petroleum Refining
Chevron,"San Ramon, CA",Petroleum Refining
Berkshire Hathaway,"Omaha, NE",Insurance: Property and Casualty (Stock)
Apple,"Cupertino, CA","Computers, Office Equipment"
General Motors,"Detroit, MI",Motor Vehicles and Parts
Phillips 66,"Houston, TX",Petroleum Refining
General Electric,"Fairfield, CT",Diversified Financials
Ford Motor,"Dearborn, MI",Motor Vehicles and Parts
CVS Health,"Woonsocket, RI",Food and Drug Stores
McKesson,"San Francisco, CA",Wholesalers: Health Care
AT&T,"Dallas, TX",Telecommunications
Valero Energy,"San Antonio, TX",Petroleum Refining
UnitedHealth Group,"Minnetonka, MN",Health Care: Insurance and Managed Care
Verizon,"New York, NY",Telecommunications
AmerisourceBergen,"Chesterbrook, PA",Wholesalers: Health Care
Fannie Mae,"Washington, DC",Diversified Financials
Costco,"Issaquah, WA",Specialty Retailers: Other
HP,"Palo Alto, CA","Computers, Office Equipment"
Kroger,"Cincinnati, OH",Food and Drug Stores
JP Morgan,"New York, NY",Commercial Banks
Bank of America Corp.,"Charlotte, NC",Commercial Banks
IBM,"Armonk, NY",Information Technology Services
Marathon Petroleum,"Findlay, OH",Petroleum Refining
Cardinal,"Dublin, OH",Wholesalers: Health Care
Boeing,"Chicago, IL",Aerospace and Defense
Citigroup,"New York, NY",Commercial Banks
Amazon,"Seattle, WA",Internet Services and Retailing
Wells Fargo,"San Francisco, CA",Commercial Banks
Microsoft,"Redmond, WA",Computer Software
Procter & Gamble | P&G,"Cincinnati, OH",Household and Personal Products
Home Depot,"Atlanta, GA",Specialty Retailers: Other
Archer Daniels Midland,"Chicago, IL",Food Production
Walgreens,"Deerfield, IL",Food and Drug Stores
Target,"Minneapolis, MN",General Merchandisers
Johnson & Johnson | J&J,"New Brunswick, NJ",Pharmaceuticals
Anthem,"Indianapolis, IN",Health Care: Insurance and Managed Care
MetLife,"New York, NY","Insurance: Life, Health (stock)"
Google,"Mountain View, CA",Internet Services and Retailing
State Farm Insurance Cos.,"Bloomington, IL",Insurance: Property and Casualty (Mutual)
Freddie Mac,"McLean, VA",Diversified Financials
Comcast,"Philadelphia, PA",Telecommunications
PepsiCo,"Purchase, NY",Food Consumer Products
United Technologies,"Hartford, CT",Aerospace and Defense
AIG,"New York, NY",Insurance: Property and Casualty (Stock)
UPS,"Atlanta, GA","Mail, Package, and Freight Delivery"
Dow Chemical,"Midland, MI",Chemicals
Aetna,"Hartford, CT",Health Care: Insurance and Managed Care
Lowe's,"Mooresville, NC",Specialty Retailers: Other
ConocoPhillips,"Houston, TX","Mining, Crude-Oil Production"
Intel,"Santa Clara, CA",Semiconductors and Other Electronic Components
Energy Transfer Equity,"Dallas, TX",Pipelines
Caterpillar,"Peoria, IL",Construction and Farm Machinery
Prudential Financial,"Newark, NJ","Insurance: Life, Health (stock)"
Pfizer,"New York, NY",Pharmaceuticals
Disney,"Burbank, CA",Entertainment
Humana,"Louisville, KY",Health Care: Insurance and Managed Care
Enterprise Products Partners,"Houston, TX",Pipelines
Cisco Systems,"San Jose, CA",Network and Other Communications Equipment
Sysco,"Houston, TX",Wholesalers: Food and Grocery
Ingram Micro,"Santa Ana, CA",Wholesalers: Electronics and Office Equipment
Coca-Cola,"Atlanta, GA",Beverages
Lockheed Martin,"Bethesda, MD",Aerospace and Defense
FedEx,"Memphis, TN","Mail, Package, and Freight Delivery"
Johnson Controls,"Milwaukee, WI",Motor Vehicles and Parts
Plains GP Holdings,"Houston, TX",Pipelines
World Fuel Services,"Miami, FL",Wholesalers: Diversified
CHS,"Inver Grove Heights, MN",Food Production
American Airlines Group,"Fort Worth, TX",Airlines
Merck,"Kenilworth, NJ",Pharmaceuticals
Best Buy,"Richfield, MN",Specialty Retailers: Other
Delta Air Lines,"Atlanta, GA",Airlines
Honeywell International,"Morris Township, NJ","Electronics, Electrical Equip."
HCA Holdings,"Nashville, TN",Health Care: Medical Facilities
Goldman Sachs Group,"New York, NY",Commercial Banks
Tesoro,"San Antonio, TX",Petroleum Refining
Liberty Mutual Insurance Group,"Boston, MA",Insurance: Property and Casualty (Stock)
United Continental Holdings,"Chicago, IL",Airlines
New York Life Insurance,"New York, NY","Insurance: Life, Health (Mutual)"
Oracle,"Redwood City, CA",Computer Software
Morgan Stanley,"New York, NY",Commercial Banks
Tyson Foods,"Springdale, AR",Food Production
Safeway,"Pleasanton, CA",Food and Drug Stores
Nationwide,"Columbus, OH",Insurance: Property and Casualty (Mutual)
Deere,"Moline, IL",Construction and Farm Machinery
DuPont,"Wilmington, DE",Chemicals
American Express,"New York, NY",Commercial Banks
Allstate,"Northbrook, IL",Insurance: Property and Casualty (Stock)
Cigna,"Bloomfield, CT",Health Care: Insurance and Managed Care
Mondelez International,"Deerfield, IL",Food Consumer Products
TIAA-CREF,"New York, NY","Insurance: Life, Health (Mutual)"
INTL FCStone,"New York, NY",Diversified Financials
Massachusetts Mutual Life Insurance,"Springfield, MA","Insurance: Life, Health (Mutual)"
DirecTV,"El Segundo, CA",Telecommunications
Halliburton,"Houston, TX","Oil and Gas Equipment, Services"
Twenty-First Century Fox,"New York, NY",Entertainment
3M,"St. Paul, MN",zMiscellaneous
Sears Holdings,"Hoffman Estates, IL",General Merchandisers
General Dynamics,"Falls Church, VA",Aerospace and Defense
Publix Super Markets,"Lakeland, FL",Food and Drug Stores
Philip Morris International,"New York, NY",Tobacco
TJX,"Framingham, MA",Specialty Retailers: Apparel
Time Warner,"New York, NY",Entertainment
Macy's,"Cincinnati, OH",General Merchandisers
Nike,"Beaverton, OR",Apparel
Tech Data,"Clearwater, FL",Wholesalers: Electronics and Office Equipment
Avnet,"Phoenix, AZ",Wholesalers: Electronics and Office Equipment
Northwestern Mutual,"Milwaukee, WI","Insurance: Life, Health (Mutual)"
McDonald's,"Oak Brook, IL",Food Services
Exelon,"Chicago, IL",Utilities: Gas and Electric
Travelers Cos.,"New York, NY",Insurance: Property and Casualty (Stock)
Qualcomm,"San Diego, CA",Network and Other Communications Equipment
International Paper,"Memphis, TN","Packaging, Containers"
Occidental Petroleum,"Houston, TX","Mining, Crude-Oil Production"
Duke Energy,"Charlotte, NC",Utilities: Gas and Electric
Rite Aid,"Camp Hill, PA",Food and Drug Stores
Gilead Sciences,"Foster City, CA",Pharmaceuticals
Baker Hughes,"Houston, TX","Oil and Gas Equipment, Services"
Emerson Electric,"St. Louis, MO","Electronics, Electrical Equip."
EMC,"Hopkinton, MA",Computer Peripherals
USAA,"San Antonio, TX",Insurance: Property and Casualty (Stock)
Union Pacific,"Omaha, NE",Railroads
Northrop Grumman,"Falls Church, VA",Aerospace and Defense
Alcoa,"New York, NY",Metals
Capital One Financial,"McLean, VA",Commercial Banks
